"t C",ro,c_p,"lambda1",Pr,Mu
-50,1.584,1.013,2.04e-2,0.728,14.6e-6
-40,1.515,1.013,2.12e-2,0.728,15.2e-6
-30,1.453,1.013,2.2e-2,0.723,15.7e-6
-20,1.395,1.009,2.28e-2,0.716,16.2e-6
-10,1.342,1.009,2.36e-2,0.712,16.7e-6
0,1.293,1.005,2.44e-2,0.707,17.2e-6
10,1.247,1.005,2.51e-2,0.705,17.6e-6
20,1.205,1.005,2.59e-2,0.703,18.1e-6
30,1.165,1.005,2.67e-2,0.701,18.6e-6
40,1.128,1.005,2.76e-2,0.699,19.1e-6
50,1.093,1.005,2.83e-2,0.698,19.6e-6
60,1.06,1.005,2.9e-2,0.696,20.1e-6
70,1.098,1.009,2.96e-2,0.694,20.6e-6
80,1,1.009,3.05e-2,0.692,21.1e-6
90,0.972,1.009,3.13e-2,0.69,21.5e-6
100,0.946,1.009,3.21e-2,0.688,21.9e-6
120,0.898,1.009,3.34e-2,0.686,22.8e-6
140,0.854,1.013,3.49e-2,0.684,23.7e-6
160,0.815,1.017,3.64e-2,0.682,24.5e-6
180,0.779,1.022,3.78e-2,0.681,25.3e-6
200,0.746,1.026,3.93e-2,0.68,26e-6
250,0.674,1.038,4.27e-2,0.677,27.4e-6
300,0.615,1.047,4.6e-2,0.674,29.7e-6
350,0.566,1.059,4.91e-2,0.676,31.4e-6
400,0.524,1.068,5.21e-2,0.678,33e-6
500,0.456,1.093,5.74e-2,0.687,36.2e-6
600,0.401,1.114,6.22e-2,0.699,39.1e-6
700,0.362,1.135,6.71e-2,0.706,41.8e-6
800,0.329,1.156,7.18e-2,0.713,44.3e-6
900,0.301,1.172,7.63e-2,0.717,46.7e-6
1000,0.277,1.185,8.07e-2,0.719,49e-6
1100,0.257,1.197,8.5e-2,0.722,51.2e-6
1200,0.239,1.21,9.15e-2,0.724,53.5e-6